meas,index,voice,loc,tick,sec,dur,rval,dot_cnt,sci_pitch,dmark,dlevel,status,d0,d1,bar,section,bpm,grace,pedal,dyn,even,tempo
302,331,3,9202,0,11.004504,57,16.0,0,A1,ppp,5,144,33,55,,,,,,,E,
,332,,,0,11.009712,,,,,,,144,42,0,,,,,,,,
,333,,,0,11.033148,,,,,,,176,64,106,,,,,,,,
,334,,,0,11.051376,,,,,,,176,64,107,,,,,,,,
,335,,,0,11.098248,,,,,,,144,33,0,,,,,,,,
,336,,,0,11.103456,,,,,,,144,73,0,,,,,,,,
,337,,,0,11.1321,,,,,,,176,64,106,,,,,,,,
,338,,,0,11.142516,,,,,,,176,64,107,,,,,,,,
,339,,,0,11.163348,,,,,,,176,64,106,,,,,,,,
302,340,3,9203,0,11.168556,28,32.0,0,C#4,ppp,5,144,61,33,,,,,,,,
,341,,,0,11.17116,,,,,,,176,64,107,,,,,,,,
,342,,,0,11.181576,,,,,,,176,64,105,,,,,,,,
,343,,,0,11.191992,,,,,,,176,64,106,,,,,,,,
,344,,,0,11.202408,,,,,,,176,64,107,,,,,,,,
,345,,,0,11.22324,,,,,,,176,64,106,,,,,,,,
,346,,,0,11.233656,,,,,,,176,64,107,,,,,,,,
,347,,,0,11.251884,,,,,,,144,75,0,,,,,,,,
,348,,,0,11.259696,,,,,,,144,61,0,,,,,,,,
,349,,,0,11.2623,,,,,,,176,64,106,,,,,,,,
,350,,,0,11.272716,,,,,,,176,64,107,,,,,,,,
302,351,3,9204,0,11.28834,29,32.0,0,F#2,ppp,5,144,42,47,,,,,,,,
,352,,,0,11.343024,,,,,,,176,64,106,,,,,,,,
,353,,,0,11.35344,,,,,,,176,64,107,,,,,,,,
302,354,3,9205,0,11.374272,28,32.0,0,C#4,ppp,5,144,61,39,,,,,,,,
,355,,,0,11.41854,,,,,,,144,42,0,,,,,,,,
,356,,,0,11.43156,,,,,,,176,64,106,,,,,,,,
,357,,,0,11.441976,,,,,,,176,64,107,,,,,,,,
,358,,,0,11.449788,,,,,,,144,61,0,,,,,,,,
302,359,3,9207,0,11.543532,29,32.0,0,F#2,ppp+,6,144,42,34,,,,,,,,
,360,,,0,11.582592,,,,,,,176,64,106,,,,,,,,
,361,,,0,11.593008,,,,,,,176,64,107,,,,,,,,
,362,,,0,11.616444,,,,,,,144,42,0,,,,,,,,
